PAGE_ID	PAGE_NAME	PAGE_URL	IS_ROUTE
1	Red River Gorge	/v/red-river-gorge/105841134	false
2	Amusement Park, The	/v/the-amusement-park/105869499	false
3	Bald Rock Recreational Preserve	/v/bald-rock-recreational-preserve/112439039	false
4	Bee Branch	/v/bee-branch/105868149	false
5	Beer Trailer Crag	/v/beer-trailer-crag/108086113	false
6	Blackburn Rock	/v/blackburn-rock/105868146	false
7	Camp Store Crag	/v/camp-store-crag/107388627	false
8	Chimney Top Rock	/v/chimney-top-rock/105869132	false
9	Clearcut Wall	/v/clearcut-wall/107699090	false
10	Courthouse Rock	/v/courthouse-rock/105868215	false
11	Dip Wall	/v/dip-wall/105868828	false
12	Dunkan Rock	/v/dunkan-rock/108437333	false
13	Eagle Point Buttress	/v/eagle-point-buttress/105868819	false
14	Eastern Sky Bridge Ridge	/v/eastern-sky-bridge-ridge/105868804	false
15	Emerald City	/v/emerald-city/105868026	false
16	Fortress Wall	/v/fortress-wall/105869125	false
17	Friction Slab	/v/friction-slab/106569392	false
18	Funk Rock City	/v/funk-rock-city/105868795	false
19	Global Village	/v/global-village/105868030	false
20	Graining Fork Nature Preserve (a.k.a. Roadside Crag)	/v/graining-fork-nature-preserve-aka-roadside-crag/105868013	false
21	Gun Crag	/v/gun-crag/105869150	false
22	Half Moon Rock	/v/half-moon-rock/105869135	false
23	Haystack Rock	/v/haystack-rock/105868208	false
24	Heights, The	/v/the-heights/105883490	false
25	Hen's Nest Rock	/v/hens-nest-rock/106730354	false
26	Indian Creek 	/v/indian-creek-/106404791	false
27	Jazz Rock	/v/jazz-rock/105868834	false
28	Jewel Pinnacle	/v/jewel-pinnacle/105869064	false
29	Kentucky Wall, The	/v/the-kentucky-wall/110529502	false
30	Left Flank	/v/left-flank/105868848	false
31	Long Wall	/v/long-wall/105867655	false
32	Lost Ridge	/v/lost-ridge/107845035	false
33	Lower Sky Bridge Ridge	/v/lower-sky-bridge-ridge/106973464	false
34	Lower Small Wall	/v/lower-small-wall/105874420	false
35	Lumpy Wall	/v/lumpy-wall/105867986	false
36	Mariba Fork	/v/mariba-fork/107847971	false
37	Middle Small Wall	/v/middle-small-wall/105891226	false
38	Military Wall	/v/military-wall/105868851	false
39	Miller Fork Recreational Preserve (MFRP)	/v/miller-fork-recreational-preserve-mfrp/110230324	false
40	Minas Tirith	/v/minas-tirith/105867983	false
41	Moonshiner's Wall	/v/moonshiners-wall/108168979	false
42	Mt. Olive Rock	/v/mt-olive-rock/106385143	false
43	Muir Valley	/v/muir-valley/105869138	false
44	Muscle Beach	/v/muscle-beach/105868831	false
45	Pebble Beach	/v/pebble-beach/105867978	false
46	Pendergrass-Murray Recreational Preserve (PMRP)	/v/pendergrass-murray-recreational-preserve-pmrp/106585368	false
47	Phantasia	/v/phantasia/105869128	false
48	Pinch Em Tight	/v/pinch-em-tight/105869067	false
49	Pistol Ridge	/v/pistol-ridge/105868100	false
50	Purple Valley	/v/purple-valley/105868825	false
51	Raven Rock	/v/raven-rock/105919809	false
52	See Rocks	/v/see-rocks/105868233	false
53	Shallow Boulder 	/v/shallow-boulder-/110993279	false
54	Symphony Wall	/v/symphony-wall/105917594	false
55	Torrent Falls	/v/torrent-falls/105869141	false
56	Tower Rock	/v/tower-rock/105872607	false
57	Tunnel Wall	/v/tunnel-wall/109007449	false
58	Wall of Denial	/v/wall-of-denial/105868816	false
